Entity,Depression,Schizophrenia,Bipolar_Disorder,Eating_Disorders,Anxiety_Disorders,Drug_Use_Disorders,Alcohol_Use_Disorders,Code,Continent,Year
Afghanistan,4.1363471,0.166157852,0.708088873,0.107142266,4.882481275,2.473933869,0.661217394,AFG,Asia,2017
Albania,2.208414198,0.201025479,0.704479655,0.174046095,3.385244537,0.51761396,1.83795474,ALB,Europe,2017
Algeria,3.661094496,0.19791314,0.818687153,0.213612216,5.065875684,1.717218255,0.665190886,DZA,Africa,2017
American Samoa,2.939668061,0.248556655,0.468304898,0.177807528,3.315833755,0.772801488,1.142276745,ASM,Oceania,2017
Andean Latin America,2.610385117,0.201470998,0.881737452,0.355474694,4.267738084,0.661481438,1.533572802,,South America,2017
Andorra,3.729531686,0.263512451,0.963331293,0.644558567,5.305374693,0.91006607,1.256050036,AND,Europe,2017
Angola,4.160484197,0.172793804,0.623903582,0.173642511,3.296906303,0.519555779,1.378244117,AGO,Africa,2017
Antigua and Barbuda,2.557963052,0.206408819,0.925268968,0.350367844,4.604823443,0.786238855,2.159736421,ATG,North America,2017
Argentina,3.665488272,0.198093692,0.773376024,0.404033163,6.283677861,1.00890084,1.824514659,ARG,South America,2017
Armenia,2.754582696,0.197364768,0.717591363,0.167047141,2.592812824,0.504359712,1.96498794,ARM,Asia,2017
Australasia,4.524688616,0.359990804,1.151790301,0.903106014,6.884912991,2.276765544,1.613586336,,Oceania,2017
Australia,4.623880986,0.363326333,1.142097012,0.943081004,6.584301177,2.315142073,1.511935142,AUS,Oceania,2017
Austria,3.260969994,0.256957852,0.939794174,0.675111962,5.341275395,0.902116974,1.824065094,AUT,Europe,2017
Azerbaijan,2.592292962,0.199997828,0.689806924,0.204891198,2.583156736,0.486327895,2.305889053,AZE,Asia,2017
Bahamas,2.626633055,0.203668036,0.889431839,0.362750252,4.655024159,0.816651977,2.108371111,BHS,North America,2017
Bahrain,3.879105153,0.206968624,0.836822159,0.273714302,4.67330436,1.695673821,0.723557569,BHR,Asia,2017
Bangladesh,4.11061131,0.252599548,0.583419096,0.137974267,4.283988502,0.512800136,1.46219797,BGD,Asia,2017
Barbados,2.763322204,0.229385587,0.919956255,0.320598998,4.663044089,0.842954554,1.577640443,BRB,North America,2017
Belarus,4.022226083,0.197650079,0.699677097,0.210693402,2.946931986,0.779867569,5.342888132,BLR,Europe,2017
Belgium,4.109186155,0.258072603,0.94715885,0.603868896,5.212644644,0.823451382,1.46563857,BEL,Europe,2017
Belize,2.838666808,0.194921776,0.881646523,0.258710442,4.568547732,0.836791599,1.784012674,BLZ,North America,2017
Benin,3.629898989,0.170321753,0.640205753,0.120290321,2.905293731,0.505540967,0.988583683,BEN,Africa,2017
Bermuda,2.826292547,0.22115378,0.974986057,0.491448912,4.692815952,0.85337887,1.506916782,BMU,North America,2017
