Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression,Alcohol use disorders (%)
New Zealand,NZL,2017,0.341050949,1.206087982,0.673290028,8.539931497,2.049319077,3.971265369,2.193405454
Australasia,,2017,0.359990804,1.151790301,0.903106014,6.884912991,2.276765544,4.524688616,1.613586336
Northern Ireland,,2017,0.262630818,1.142527033,0.523496694,7.464269628,1.229126303,4.105620951,1.141166585
Australia,AUS,2017,0.363326333,1.142097012,0.943081004,6.584301177,2.315142073,4.623880986,1.511935142
England,,2017,0.266006775,1.107005682,0.552932304,4.534930274,1.660924239,4.119392047,1.792119864
Brazil,BRA,2017,0.20553404,1.106914712,0.277050765,6.069179504,1.061681334,3.29736759,2.683580505
Tropical Latin America,,2017,0.205441673,1.105779538,0.275815325,6.067562805,1.044753567,3.287515106,2.675569337
United Kingdom,GBR,2017,0.262952342,1.086837599,0.543053614,4.649860931,1.664000096,4.119523991,1.897051612
Paraguay,PRY,2017,0.202425562,1.075628966,0.238288431,6.015213899,0.527617741,2.958839674,2.384385156
Sweden,SWE,2017,0.270391825,1.057929806,0.57460828,5.293836611,0.729285356,4.487910994,1.586587835
Finland,FIN,2017,0.257444378,1.005826257,0.594937627,3.752061878,0.951914365,4.792735606,2.605060902
Denmark,DNK,2017,0.254016903,1.005493541,0.540025325,5.31463455,0.895411338,3.291885325,1.730723133
Lebanon,LBN,2017,0.198375562,0.996153045,0.219049411,6.074355557,2.227297156,3.676734231,0.659928942
Spain,ESP,2017,0.281538914,0.976917325,0.730626189,5.280278593,1.468867753,3.538359291,0.885003363
Bermuda,BMU,2017,0.22115378,0.974986057,0.491448912,4.692815952,0.85337887,2.826292547,1.506916782
Iceland,ISL,2017,0.257616535,0.971121595,0.558013746,5.290987801,0.725035907,3.361665212,1.249028592
Andorra,AND,2017,0.263512451,0.963331293,0.644558567,5.305374693,0.91006607,3.729531686,1.256050036
Malta,MLT,2017,0.257631743,0.962950218,0.519139982,5.317984358,0.864663371,3.374137332,1.109283929
